id,breakdown_next_30_days
1356,0
889,0
1190,0
122,0
1101,1
782,0
366,0
1138,1
241,0
1240,0
412,1
1363,1
1473,0
1024,1
1344,0
331,0
771,0
854,0
279,1
985,0
1301,1
569,1
1164,1
1105,0
37,1
968,0
196,1
1384,1
564,1
1326,0
866,0
588,1
600,0
52,1
1469,0
1247,0
1233,0
1278,0
1385,0
1258,1
353,1
1206,0
733,0
1011,0
466,0
471,0
1262,0
392,0
1361,0
1189,1
847,0
635,1
199,1
458,0
899,1
23,0
86,0
1474,1
1423,1
1122,1
262,0
862,0
592,1
653,0
7,0
434,1
870,0
1080,0
235,1
1365,1
989,0
282,0
1108,1
1432,0
1481,1
1400,1
864,0
977,0
961,1
641,1
1037,0
756,0
1005,0
1299,1
1444,0
520,1
316,0
1059,0
43,0
761,1
1144,1
1291,1
275,0
163,1
426,1
225,1
459,0
629,1
768,0
1033,0
575,1
1450,1
645,1
1426,0
393,1
1145,0
1370,1
794,1
1285,1
730,1
1360,1
15,1
805,0
954,1
388,1
341,0
1433,1
493,1
179,1
195,0
56,1
1417,0
398,0
1014,0
1249,0
211,1
306,1
283,0
944,1
727,0
792,1
482,1
1079,0
1485,1
912,1
479,0
607,1
32,1
648,1
1359,1
247,0
669,1
1420,1
534,1
532,0
286,0
1422,0
232,1
379,0
1271,1
1086,1
1196,1
1013,0
1216,1
1281,0
861,1
228,0
310,1
93,0
1346,1
357,1
647,0
1148,0
1128,1
916,0
22,1
1430,1
766,0
505,0
1386,1
181,1
343,0
1296,1
949,1
625,1
617,1
1468,0
1334,0
566,0
996,0
290,1
924,1
1162,1
1463,1
1004,1
640,1
1268,0
266,1
465,0
657,0
886,1
555,1
14,1
1113,0
381,1
851,1
1349,0
134,1
51,0
102,0
1441,1
233,1
40,1
978,1
812,1
478,0
1141,0
1021,0
329,0
932,0
725,1
1368,1
729,1
818,1
67,0
576,0
1230,0
30,0
1250,0
224,1
370,1
1117,1
1103,0
1185,1
672,0
1491,0
470,1
1224,0
502,1
1165,0
1357,0
1151,1
1027,1
643,0
1186,1
1099,0
1056,1
591,0
1053,1
1066,1
612,1
91,1
1075,0
124,1
267,1
230,1
1437,0
1018,1
243,1
78,0
757,0
1176,1
436,0
1460,1
939,0
526,1
881,0
156,1
336,0
324,0
891,1
1220,1
1372,0
414,0
1232,1
1273,0
1198,0
507,1
161,0
383,1
683,0
202,0
860,1
1175,1
1276,1
136,0
1243,0
742,1
1197,1
1303,0
1471,0
969,0
1492,1
875,0
351,1
1295,0
1012,1
620,0
781,0
1072,1
140,1
402,1
162,1
26,0
920,0
486,1
8,1
763,1
984,1
1067,0
66,0
1277,1
1217,1
779,0
375,1
1155,0
2,1
856,0
700,0
138,1
155,0
391,0
1088,0
154,0
350,1
739,0
338,1
48,1
1246,1
49,0
1032,1
1300,0
369,1
1407,1
3,1
380,0
165,1
1143,0
29,0
433,1
1340,1
556,1
169,0
539,0
263,1
151,0
517,0
584,1
255,1
214,0
105,1
149,1
631,1
582,1
18,0
982,0
75,0
892,1
109,0
1244,1
953,0
1043,0
174,0
1106,0
531,1
1313,0
1161,1
1274,0
1369,0
323,0
487,1
411,1
292,0
288,0
853,1
1457,1
821,0
114,0
1409,1
1223,1
1321,1
1208,0
1069,0
702,0
1149,0
933,1
937,0
964,1
273,0
1388,0
1125,1
499,0
1226,0
1270,0
110,1
1179,1
294,1
1292,0
974,0
1398,1
1318,0
876,0
654,1
1306,0
72,1
1167,1
1095,1
674,1
813,1
16,0
258,0
552,0
611,0
565,1
1397,1
301,1
87,0
1022,1
115,1
1237,0
443,1
895,1
469,0
734,1
404,0
721,0
952,0
319,0
1221,0
522,0
609,0
675,1
767,0
913,0
484,0
796,1
1218,0
596,0
994,1
627,0
1096,1
587,0
1047,0
1100,0
481,0
1109,0
541,1
925,1
618,0
878,1
1499,0
223,0
1157,0
704,0
1389,0
589,0
694,0
50,0
437,1
403,1
