,id,vehicle_brand,vehicle_age_years,mileage_km,engine_hours,last_service_km_ago,oil_quality_pct,avg_trip_length_km,weather_exposure,fuel_type,cleanliness_score,driver_satisfaction_score,tyre_type,breakdown_next_30_days
2,1304,Hyundai,1.0,188558.43241380475,6678.958321112064,11726.320455260284,25.491427639557703,41.69220530491477,medium,hybrid,47.2239664412122,5.842726209229087,winter,0
3,268,Toyota,5.0,92828.11328451143,2986.9234606662862,1845.7446907939136,54.06041616811634,6.464344909437615,high,diesel,72.24682919852516,4.719607086249255,winter,0
5,606,Renault,1.0,209439.4427693928,7156.897259431278,3527.010815424813,52.14739895816743,1.4587034765733584,high,hybrid,57.117173588184414,7.676373147887637,summer,0
6,1362,Volvo,11.0,66541.74688250064,1436.2552520130591,5158.229237639604,52.38835461452913,29.98799681395498,medium,diesel,34.61014663958327,4.221209082787091,summer,0
9,244,Ford,2.0,113057.42437436365,3818.890985687493,2585.7048201466723,48.38733127518966,21.020532874881084,low,diesel,86.67704879879096,6.622986922145387,summer,0
10,980,Ford,14.0,72863.78022019859,2737.020176768316,1940.9112731471585,29.16597249464017,38.88283177274568,other,petrol,72.96551373013749,6.923436055145024,all-season,1
11,1283,Volkswagen,8.0,92034.533322191,2890.748000909553,4632.801090788276,61.05583125998869,86.16764604173893,low,diesel,60.97212213631625,7.588806802432439,winter,0
12,490,Renault,7.0,96693.57803474432,3031.6987812727407,12182.202260821772,42.4867131099139,146.05554790633147,low,diesel,93.12298424277608,6.603669101650449,winter,1
13,1087,Volkswagen,5.0,60689.23132150189,2460.3221820195818,24161.633391014864,60.56607323387701,36.712672188371656,low,diesel,68.16716906049827,6.93288844133129,winter,1
15,1017,Volkswagen,6.0,103916.1068992839,4004.7313963339257,16328.3658097827,89.37136625986858,4.898022303308434,low,hybrid,99.19323088006594,7.513892668795471,summer,0
16,1045,BMW,8.0,77385.60914944441,2773.506877887534,4211.692968282049,63.727658439634,11.24838495126158,high,diesel,60.91620401341713,7.387498236389725,winter,1
17,510,Hyundai,3.0,84978.51697686697,2982.981460898568,3057.816182769801,25.032238177313783,60.2111299101674,high,petrol,91.3511084691186,8.058918758266012,all-season,1
19,1341,Volkswagen,5.0,104106.9557447936,3481.664598502992,3234.597577097441,24.798451197412767,7.015990275580111,medium,hybrid,66.70697129181364,5.7460799484263285,summer,0
20,908,Renault,13.0,154032.4437334015,4870.202473319701,3512.5368744128377,44.11374415586815,11.17302268378266,high,diesel,76.50007292462827,6.5162012207434525,winter,0
21,1459,Volkswagen,2.0,226164.54512865204,7627.409731332739,6495.778503804907,60.56607323387701,8.321791776856847,medium,hybrid,76.93462699850201,8.231639708267894,summer,0
23,956,Volkswagen,9.0,195292.8966816624,6185.793315813525,1130.9779947204927,68.59140111310671,3.752280190236126,low,petrol,66.72068361325833,8.175132784878913,all-season,0
24,1133,Toyota,13.0,96509.88557781697,3707.439573964988,8746.643535047664,54.91230003281783,30.05405817247832,high,petrol,87.27957055587403,5.334754391592838,winter,0
26,784,BMW,12.0,180924.2875064188,5877.504996711003,10827.374942132712,92.31809352474193,6.552994274667679,high,electric,99.0093101814658,7.563967748344838,summer,0
27,194,BMW,4.0,87533.49302871441,2765.8464478390706,21316.1305709861,87.4984404112246,10.656365868621377,medium,petrol,89.96794917891374,7.543847140443609,winter,0
28,441,BMW,16.0,183977.1481551939,5918.6593940318,2757.415827958152,50.82722753542736,24.05355913610465,low,diesel,65.42376299371459,7.715857218962205,summer,0
30,943,Renault,6.0,108332.48839207542,4031.022182809111,183.56535569714484,26.026062620189297,17.88763469440383,low,electric,44.82165648923549,4.1532149267638525,all-season,0
31,736,Ford,1.0,156972.6633200575,5550.154497872236,17896.812386089074,72.68713876539202,10.857387391828704,medium,petrol,52.82627781591246,7.29131655469732,summer,0
32,226,Ford,10.0,98792.65423923689,3221.311512403626,13224.89079410312,34.52719085994826,22.394624748822125,medium,petrol,73.2226046494054,5.293987062301555,summer,0
33,931,BMW,15.0,122558.4825696238,4038.7730818564905,1580.872064348721,26.11229877754751,2.50490792227703,medium,diesel,57.691876940999606,7.257866619537362,all-season,0
34,1203,Ford,8.0,62330.85041075439,1801.1526148986616,10338.204154077555,58.37868611383131,37.219686231893576,low,electric,68.72101509509811,8.676900078080173,summer,0
35,107,Volvo,2.0,25855.12244856592,579.5718450762873,7490.511076621698,22.339495741679222,99.94679292538484,low,petrol,68.50811229523258,6.688150878380131,summer,0
36,99,Hyundai,1.0,89975.73987472264,3036.78041737362,16472.257337717987,45.42226866285693,36.829154902473306,medium,diesel,66.83275810658074,5.9060876271946965,all-season,0
38,1345,BMW,12.0,163828.72727060225,5304.056621377705,6749.262336278542,75.64723554794413,42.24277993781155,high,petrol,46.42191765816297,6.433212650328299,winter,0
39,483,BMW,19.0,99198.65703352088,4004.7313963339257,19881.350516077982,34.277389146152714,51.18039707580911,medium,petrol,38.21773178040152,8.068009610821958,all-season,1
42,583,Ford,7.0,166287.371571527,5078.264820218641,4919.72675063313,57.5181535180033,86.25553327036162,medium,petrol,52.83440250405641,8.578667520488672,summer,0
45,175,Volvo,8.0,99353.07921801951,3425.51213505725,2966.624884630817,99.22954719506336,3.250631956162349,low,petrol,52.97818871589682,9.143988960736513,all-season,0
47,1497,Ford,6.0,141525.95226553714,4414.809335158896,3266.0893757261183,44.958133694262486,2.6148003986627666,low,petrol,68.31921999001815,5.020316316384436,all-season,1
